date,geography,geography code,Rural Urban,Dwelling Type: All categories: Accommodation type; measures: Value,Dwelling Type: Unshared dwelling: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value,"Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value",Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value,Dwelling Type: Shared dwelling; measures: Value
2011,Crundale BUA,W37000001,Total,262,262,260,206,49,5,2,1,1,0,0,0
2011,Llangwm BUA,W37000002,Total,370,370,366,239,89,38,3,1,1,1,1,0
2011,Llanybyther BUA,W37000003,Total,515,513,472,179,233,60,39,14,6,19,2,2
2011,Bontnewydd BUA,W37000004,Total,393,391,378,132,118,128,13,12,0,1,0,2
2011,Llanberis BUA,W37000005,Total,821,821,733,144,170,419,86,52,12,22,2,0
2011,Glyn Ceiriog BUA,W37000006,Total,367,367,341,144,117,80,24,22,0,2,2,0
2011,Ynysybwl BUA,W37000007,Total,1506,1502,1395,205,314,876,105,86,10,9,2,4
2011,Y Felinheli BUA,W37000008,Total,1006,1006,875,209,243,423,130,83,40,7,1,0
2011,Llanddewi Brefi BUA,W37000009,Total,297,297,294,182,63,49,2,0,1,1,1,0
2011,Grovesend BUA,W37000010,Total,454,454,439,164,232,43,15,2,11,2,0,0
2011,Pentre Halkyn BUA,W37000011,Total,491,491,489,281,138,70,2,0,1,1,0,0
2011,Penrhyn-coch BUA,W37000012,Total,541,541,535,279,192,64,6,4,2,0,0,0
2011,Llandevaud BUA,W37000013,Total,164,164,161,143,17,1,3,0,2,1,0,0
2011,Clawdd Poncen BUA,W37000014,Total,121,121,106,12,35,59,15,14,0,1,0,0
2011,Borth BUA,W37000015,Total,604,604,484,224,142,118,120,53,60,7,0,0
2011,Soughton BUA,W37000016,Total,705,705,701,360,299,42,4,2,0,2,0,0
2011,Three Crosses BUA,W37000017,Total,615,615,570,335,207,28,44,43,1,0,1,0
2011,Llansanffraid Glan Conwy BUA,W37000018,Total,803,803,753,319,355,79,49,36,10,3,1,0
2011,Newborough (Isle of Anglesey) BUA,W37000019,Total,398,398,390,172,100,118,6,2,0,4,2,0
2011,Ruthin BUA,W37000020,Total,2406,2406,2096,989,630,477,310,205,50,55,0,0
2011,Tircoed BUA,W37000021,Total,340,340,338,204,62,72,2,2,0,0,0,0
2011,South Cornelly BUA,W37000022,Total,178,178,173,56,86,31,5,4,1,0,0,0
2011,Llanfechell BUA,W37000023,Total,255,255,253,129,54,70,2,0,2,0,0,0
2011,Groes-faen BUA,W37000024,Total,281,281,273,201,34,38,8,2,2,4,0,0
2011,Pant-yr-awel BUA,W37000025,Total,315,315,310,60,160,90,5,4,0,1,0,0
2011,Henllan BUA,W37000026,Total,378,378,365,188,104,73,13,5,6,2,0,0
2011,Ferryside BUA,W37000027,Total,388,388,369,185,133,51,15,9,4,2,4,0
2011,Gwynfryn BUA,W37000028,Total,121,121,119,106,12,1,2,0,2,0,0,0
2011,Abermule BUA,W37000029,Total,370,370,367,225,90,52,2,0,0,2,1,0
2011,Pontneddfechan BUA,W37000030,Total,169,169,169,71,69,29,0,0,0,0,0,0
2011,Trelogan BUA,W37000031,Total,256,256,255,152,81,22,1,1,0,0,0,0
2011,Trimsaran BUA,W37000032,Total,681,681,648,121,445,82,33,26,2,5,0,0
2011,Llanrhidian BUA,W37000033,Total,211,211,192,153,34,5,14,11,1,2,5,0
2011,Resolven BUA,W37000034,Total,909,909,857,118,325,414,52,46,5,1,0,0
2011,Sudbrook BUA,W37000035,Total,123,123,120,13,6,101,3,1,2,0,0,0
2011,Fishguard BUA,W37000036,Total,1627,1623,1472,565,479,428,149,82,25,42,2,4
2011,Llanbedr-Dyffryn-Clwyd BUA,W37000037,Total,128,128,126,108,17,1,2,1,0,1,0,0
2011,Conwy BUA,W37000038,Total,1753,1753,1526,434,720,372,186,115,36,35,41,0
2011,Gresford BUA,W37000039,Total,2136,2136,2076,1198,687,191,45,26,12,7,15,0
2011,Berriew BUA,W37000040,Total,143,143,140,59,76,5,3,2,0,1,0,0
2011,Letterston BUA,W37000041,Total,540,540,513,219,195,99,27,16,8,3,0,0
