Timestamp,Entered by,Dataset name,Data owner,Category1,Category2,Category notes,Source of information,Source - weblink,Dataset content,Geographic coverage,Geographic units,Geography notes,Time period - from,Time period - to,Time - frequency,Time notes,Data type,Data type notes,Data quality,Data access,Data owner attitude to research use,Other notes
12/15/2015 17:22:29,Sarah,Annual Survey of Hours and Earnings Pensions categories (Annual Survey of Hours and Earnings (ASHE)),ONS,1 - People,"1.1 - Demographics, social","Primarily concerns earnings and hours so broader than cost, price and rent ",,http://www.ons.gov.uk/ons/rel/ashe/annual-survey-of-hours-and-earnings-pension-tables/index.html,"1% sample of employee jobs taken from HM Revenue & Customs (HMRC) Pay As You Earn (PAYE) records. ASHE does not cover the self-employed nor does it cover employees not paid during the reference period. In 2015 information related to the pay period.  Sample size: 180,000 employee jobs",1 - UK,National,,1998,On-going,Annual,The ASHE replaced the New Earnings Survey (NES) which was administered by the ONS since the 1970s.,Sample survey,"Estimates on the levels and distribution of earnings and hours for employees in the UK. Estimates are available for a variety of breakdowns by age groups, gender, industry, and pension type.","Primary weaknesses identified by ONS include: lack of personal demographic data, timing and periodicity, no coverage of self employed and quality of estimates and low levels of disaggregation can be poor. ",Free to download from the ONS,,
12/11/2015 16:54:27,Sarah,Census Aggregate Data ,UK Data Service - Census Support,1 - People,"1.1 - Demographics, social",Also contains great deal of information on dwelling characteristics.,,https://census.ukdataservice.ac.uk/,"Census 1971, 1981, 1991, 2001, 2011 Data (England, Wales and Scotland)
; Census 1991, 2001, 2011, (Northern Ireland). Includes information on housing (communal establishments, empty homes, accommodation type and size,tenure,dwelling type,central heating,lowest floor level) as well as socio-demographics (household size, composition, occupational class, age, ethinicity, national identity, etc.). ",1 - UK,Census Output Area,Census Microdata also available from the UK data service from the 1991 and 2001 Censuses.  This provides a sample of individual person level records drawn from census data and anoymonised.,1971,On-going,Other,Census - every ten years.,Census,,Excellent in spite of concerns about non-response. ,Open Acess tool: Freely available to download from UK Data Service,Strongly supportive,
12/11/2015 12:54:00,Alice,English Housing Survey/Fuel Poverty Dataset,DCLG/DECC,1 - People,"1.1 - Demographics, social",,,"https://www.gov.uk/government/collections/english-housing-survey
https://discover.ukdataservice.ac.uk/Catalogue/?sn=7539&type=Data%20catalogue","This is a dataset derived from analysis to produce estimates of the number of households living in fuel poverty in England. Previously, a household was defined as being fuel poor if they spent more than 10% of their income on fuel. The data cover modelled household fuel costs and consumption. It is based on the English Housing Survey which interviews c. 13,300 households and inspects c. 6,200 dwellings. ",4 - England,National,Freely available datasets have restricted geographic identifiers to avoid disclosure of participants.  English Housing Survey datasets with detailed geographic identifiers may appear to be available via Secure Access agreement with the UK Data Service although it is not clear what level of geographical identifier could be obtained. Scottish and NI equivalent surveys exist but fuel poverty definitions vary.,2008,On-going,Annual,"The survey operates continuously. Data for the household survey are analysed annually and for the physical survey on a two-year rolling basis. Prior to 2008, the constituent elements of the English Housing Survey were run as separate surveys. Fuel poverty datasets were produced by DECC from 2003 onwards.",Sample survey,This is a derived dataset created on the basis of the English Housing Survey Sample Survey. Levels of potential sampling error within this survey are assessed. Greater detail on this can be found in the Technical Report ,"- The sample for the survey is representative of England. There was a transition in methodology from 2011 to 2012 from a simple random sample to a partially clustered survey design for a single survey year. The survey is stratified by geog region, tenure, and household with an HRP who worked in a non-manual occupation (2001 census) and subsampled by tenure.  
- The sample for the survey is drawn from the Postcode Address File (PAF) obtained from the Post Office. This offers a good coverage of residential households and dwellings in England. The sample does not however include any new dwellings built after the PAF was collated. The weights are adjusted using the number of new dwellings built between the PAF date and the reference date for the weighting to account for this error in coverage.
- Standardised training is in place to minimise measurement error both amongst interviewers and surveyors
- For the interview section, full-scale piloting of new questions is not carried out but new questions are reviewed following the first quarter of data collection
- The greatest variability in subjectivity in the physical survey is likely to revolve around the assessment of housing condition and defects. However, a surveyor variation study was carried out in 2009/10 which showed no significant difference in surveyor assessments 
- Non-response bias is dealt with in the weighting process
- Greater detail on measures undertaken to enhance data quality are provided in a Technical Report","Anonymised English Housing Survey data sets are released each year once the main annual reports have been published, via End User Licences available to all members of the public at the UK Data Service.  Registration for this service is slightly different for HE/FE users. The English Housing Survey datasets with detailed geographic identifiers are available only via Secure Access at the UK Data Service",Government attitudes to research use of their data appear favourable. ,"The government is looking to reduce the cost of the English Housing Survey. Following a review in early 2015, they have decided to not pause the survey or continue it on a biannual basis. However, it is likely that aspects of the survey methodology and the data collected will alter somewhat in the upcoming years. "
12/11/2015 13:16:03,Alice,English Housing Survey/Private Landlords Survey,DCLG/DECC,1 - People,"1.1 - Demographics, social","Subsidy and benefit, Property and Physical Characteristics-land may also apply to this dataset",,"https://discover.ukdataservice.ac.uk/catalogue/?sn=7802&type=Data%20catalogue
https://www.gov.uk/government/collections/private-landlords-survey
http://doc.ukdataservice.ac.uk/doc/7114/mrdoc/pdf/7114_pls_technical_report.pdf",This data comes from a periodic follow-up survey of private landlords and agents (the Private Landlords Survey (PLS)) is conducted using information from the English Housing Survey interview survey. Information collected includes: respondent characteristics; landlord's portfolio; nationality/ethnicity; licensing; letting practice; acquisition of the rental property; current letting; financial information about current letting; tenancies that ended in last two years; repairs; neighbourhood; landlord problems.,4 - England,National,Freely available datasets have restricted geographic identifiers to avoid disclosure of participants.  English Housing Survey datasets with detailed geographic identifiers may appear to be available via Secure Access agreement with the UK Data Service although it is not clear what level of geographical identifier could be obtained. ,2001,2010,Other,"This follow-up survey is conducted periodically. It was conducted in 2001, 2003, 2006 and 2010 ",Sample survey,"As with previous years, the 2010 survey was based on information collated on DCLG's main housing survey. Respondents taking part in the ECHS 2007-2008 (see under SN 6449 on UK Data Service site) and the EHS 2008-2009 (see under SN 7040 on UK Data Service site) who were recorded as private renters were asked to provide details of their landlord. These details formed the main sample for the 2010 PLS.","Some changes were made to questions between the 2006 and 2010 versions of the questionnaire which presents issues for continuity. New questions were included which look at choice of letting/management agent for instance. The sample was derived from renters' responses to two years' of the household interviews. Landlords whose properties were empty at the time of the initial survey are therefore excluded. Where tenants refused to participants, landlords were also excluded. As a sampling frame for private landlords the PLS therefore suffers from under-coverage. ""problem landlords"" and ""problem tenants"" may also be underrepresented due to non-response bias. ","An anonymised PLS dataset is provided for 2010 via the UK Data Service. Datasets with additional geographic identifiers are available only via Secure Access at the UK Data Service although the unit of this is not clear. It seems likely that datasets for 2001, 2003 and 2006 could be obtained although these would need to be requested, ",Government attitudes to research use of their data appear favourable. ,"The government is looking to reduce the cost of the English Housing Survey. Following a review in early 2015, they have decided to not pause the survey or continue it on a biannual basis. However, it is likely that aspects of the survey methodology and the data collected will alter somewhat in the upcoming years. It is not clear if they plan to conduct the Private Landlords Survey again. "
12/11/2015 17:55:39,Sarah,Families and Children Study,DWP,1 - People,"1.1 - Demographics, social","Also examines child development, family live, labour market as well as income, property and investment",,https://discover.ukdataservice.ac.uk/catalogue/?sn=4427&type=Data%20catalogue,"One hour interviews with a main respondent and 20 minute partner interview. Covers: child development and child rearing; family life and marriage; employment and labour; income, property and investment; and other topics. ",2 - GB,Regional,,2001,2011,Annual,,Sample survey,Numeric data at an individual (micro) level.,Way in which the survey was undertaken varied according to each wave.,freely available to download from the UK Data Access Service.  ,Appears favourable towards research use,"Formerly known as the 'Survey of Low Income Families (SOLIF) and designed to evaluate government's employment policy, specifically incentives designed to help people into work, improve living standards, improve child outcomes.  Also used to compare living standards and outcomes for children across the income distribution and compare changes since 1999."
12/10/2015 14:21:33,Sarah,Family Resources Survey ,DWP,1 - People,"1.1 - Demographics, social","Data includes income (including benefits, tax credits and pensions) housing tenure, caring needs, expenditure on housing, education, family circumstances and child maintenance",,https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201314,"Household survey. Collects information on income and circumstances of private households in the UK.  Data includes information on disability, income, pensions, savings, benefits, households by council tax band.  Approximately 20,000 households per annum",1 - UK,Regional,Geographic identifiers available down to LSOA/DZ level under special access conditions.,1992,On-going,Annual,Datasets available to academics from UKDS. Did not include Northern Ireland until 2002/03,Sample survey,"Approximately 20,000 households interviewed",High quality Government survey,"Regional data freely available to download as Excel spreadsheet. Access to sensitive versions of the FRS only available via the UK Data Services's safe room at the UK Data Archive via application.  More information available:
https://www.gov.uk/government/publications/accessing-datasets-access-arrangements-for-sensitive-versions-of-dwp-data",Anonymised survey data readily accessible from UKDS. ,"Within the DWP the FRS is used to support:
Households Below Average Income (HBAI)
Pensioners' Incomes Series
Income-Related Benefits: Estimates of Take-Up
DWP Policy Simulation Model and other policy analysis"
12/16/2015 15:10:50,Sarah,Family Resources Survey (Northern Ireland),Department of Social Development (DSD),1 - People,"1.1 - Demographics, social","household income, caring needs, education and housing tenure.",,https://www.dsdni.gov.uk/topics/dsd-statistics-and-research/family-resources-survey,"3600 addresses are selected out of approximately 751,600 address records.  In 2013/14, 1965 households were interviewed face-to-face for the FRS in Northern Ireland representing 62% of the sample. Questionnaire used in Northern Ireland is the same as rest of the UK with some minor amendments, eg council tax payments are discussed as 'rates payments'.Data includes income (including benefits, tax credits and pensions), housing tenure, caring needs, expenditure on housing, employment, and household characteristics.",7 - Northern Ireland,Regional,"The lowest scale for which data is available is unclear but published data is for the whole of Northern Ireland. 
There are 3 tables availbe at Local Government District level, these are:
Households by state support receipt and Local Government District (LGD)
Households by tenure and Local Government District (LGD)
Adults by gender, economic status and Local Government District (LGD)",2003,On-going,Annual,,Sample survey,,"Subject to weaknesses of a survey including: Sampling error, Non-reponse error, Survey coverage,Sample size.  FRS is also known to under-report benefit receipt and income and figures given for savings have the lowest repsonse rate.",National data about the FRS in Northern Ireland is free to download from DSD webpage as an excel spreadsheet,,Within Northern Ireland the FRS is used to support the Households Below Average Income (HBAI) and the Policy Simulation Model used by DSD and DWP to evaluate policy and policy costing.
12/16/2015 15:52:43,Sarah,General Lifestyle Survey (GLF),ONS,1 - People,"1.1 - Demographics, social",property type and condition is also investigated,,http://www.ons.gov.uk/ons/rel/ghs/general-lifestyle-survey/index.html,"Adults aged 16 and over at every household at the sampled address. Very broad range of subject areas covered by the survey, particularly relevant to housing is household composition, housing tenure, housing costs including mortgage payments, rents and benefits and property type. 
In 2011, 11,381 addresses were sampled, and 7,934 full or partial interviews were obtained.  The survey employs a probability, stratified two-stage sample design.  ",2 - GB,Regional,,1971,2012,Annual,,Sample survey,"The 2005-2006 GLF fieldwork is the first to be undertaken with a longitudinal survey design and with a slight change in substantive emphasis, which leans towards a greater range of questions on social exclusion.","General issues associated with sample surveys including sampling error and non response, ","Data free to download from the ONS website and also accessible from UK Data Service where it can be downloaded as SPSS, Stata or tab-delimited files. when via UK Data Service: Registration required and terms and conditions apply",Appears favourable,Originally known as the General Household Survey 
12/21/2015 16:03:16,Alice,Household Estimates ,Scottish Government,1 - People,"1.1 - Demographics, social",,,http://nationalrecordsofscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/housholds/household-estimates,"This data release contians estimates of the number of households and dwellings in Scotland, including occupied and vacant dwellings, second homes and trends in household types",6 - Scotland,Local authority,The data tables provided as part of this data release go down to the local authority level. It is noted however that small area household estimates are available via the Scottish Neighbourhood Statistics Portal. ,1991,On-going,Annual,It is noted that publications are provided from 2002-2014 however they contain data which goes back to 1991,Administrative,,,This dataset has full coverage of the 32 local authorities of Scotland. ,Government attitudes to research use of their data appear favourable. ,
12/12/2015 13:35:59,Alice,Household Projections,DCLG,1 - People,"1.1 - Demographics, social",,,"https://www.gov.uk/government/statistical-data-sets/live-tables-on-household-projections
http://webarchive.nationalarchives.gov.uk/20120919132719/http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/householdestimates/","This dataset provides projections of household numbers, household populations, household representative rates and institutional populations",4 - England,Local authority,,1991,2037,Annual,A disaggregated dataset with figures 1991-2037 is provided based on 2012 data. Further earlier projections are also provided from 2011 and 2008 data,Administrative,This is a derived dataset based on 2012 national statistics data ,National statistics such as these are quality assurance reviews. A detailed methodology for projections is provided in two supplementary '2012-based household projections: methodology' reports.,A disaggregated dataset of this information local authority districts is freely provided for non-commercial modelling purposes.,Government attitudes to research use of their data appear favourable. ,
